Date,Name,Type,Amount
2024-05-29,Williams-Sheppard,Earning,3792.19
2024-07-07,Hull-Gallegos,Earning,212.02
2024-07-04,Silva-Odonnell,Earning,2030.62
2024-07-15,Campbell Inc,Earning,4839.32
2024-08-28,Archer-Patel,Earning,2921.08
2024-08-21,Collins Ltd,Expense,2481.61
2024-01-29,"Rivera, Castro and Gomez",Earning,707.33
2024-05-02,"Bowman, Harris and Tran",Expense,1914.34
2024-06-20,"Green, Trujillo and Dunn",Earning,4936.42
2024-01-06,Cortez Group,Expense,3452.36
2024-08-30,Salazar LLC,Expense,514.8
2024-04-04,"Nguyen, Harrell and Lee",Earning,2365.99
2024-08-08,Allen and Sons,Expense,3234.58
2024-07-29,Davis-Kaiser,Earning,3058.33
2024-07-16,Rodriguez-Arnold,Expense,176.63
2024-02-18,"Cook, Nielsen and Harris",Earning,2219.04
2024-08-22,"Matthews, Wallace and Carlson",Earning,320.78
2024-05-29,Johnston-Roberts,Expense,4534.57
2024-03-14,Johnson Ltd,Earning,3554.16
2024-04-10,Jones-Shelton,Expense,1946.63
2024-02-20,Mclean Inc,Earning,1227.12
2024-07-28,"Myers, Thornton and Hill",Earning,3521.18
2024-04-01,Jacobson PLC,Expense,4046.58
2024-06-11,"Hill, Vasquez and Davidson",Expense,3809.31
2024-05-18,Nguyen Inc,Expense,992.13
2024-07-07,"Mccoy, Bruce and Sanchez",Earning,465.17
2024-04-15,Thornton LLC,Earning,4376.69
2024-03-07,Simmons-Brown,Earning,554.2
2024-02-26,"Robinson, Montoya and Walters",Earning,3535.74
2024-07-26,"Becker, Johnson and Reid",Earning,4074.19
2024-08-23,"Wilson, Davis and Bass",Expense,190.45
2024-02-15,Jacobs and Sons,Earning,2230.5
2024-03-12,"Martinez, Clark and Owen",Earning,1592.06
2024-01-09,"Coleman, Garcia and Green",Expense,3551.26
2024-03-26,Lucas LLC,Expense,900.88
2024-06-18,Brown Group,Expense,1942.26
2024-01-16,"Garcia, Mcneil and Gonzalez",Earning,2387.89
2024-05-19,"Harrison, Barrera and Hudson",Expense,1613.17
2024-03-19,Kramer and Sons,Expense,624.92
2024-03-03,Moreno-Wilson,Expense,796.12
2024-06-20,"Thompson, Ruiz and Ortiz",Earning,4190.95
2024-08-09,"Lowery, Banks and Price",Earning,2613.73
2024-04-07,Castro Inc,Expense,761.07
2024-06-26,"Miller, Stevenson and Stephens",Earning,2902.68
2024-02-22,Gill Group,Earning,2468.35
2024-05-16,"Roberts, Howard and Arroyo",Earning,421.04
2024-09-03,"Anderson, Collins and Goodman",Expense,2572.64
2024-02-01,Wheeler Ltd,Earning,4226.94
2024-05-09,Allen Ltd,Expense,4919.12
2024-06-23,Page-Nunez,Earning,594.5
